price,year,odometer,make,model,fuel,transmission,condition,engine_cc,power_hp,seats,body_type,state,title,description,seller_type
250000,2006,283350,Toyota,Aqua,diesel,cvt,like new,1500,118,5,sedan,KPK,Toyota Aqua 2006 cvt,"KPK registered, 283350 km driven, like new condition.",individual
579848,2010,228122,Honda,City,petrol,automatic,like new,1200,84,5,suv,Punjab,Honda City 2010 automatic,"Punjab registered, 228122 km driven, like new condition.",individual
1073910,2018,99699,Honda,City,cng,manual,good,1500,158,4,sedan,Sindh,Honda City 2018 manual,"Sindh registered, 99699 km driven, good condition.",individual
630508,2010,231114,Hyundai,Elantra,diesel,automatic,good,1300,125,4,sedan,Sindh,Hyundai Elantra 2010 automatic,"Sindh registered, 231114 km driven, good condition.",individual
368782,2007,289119,Honda,City,petrol,automatic,good,1000,87,4,hatchback,Islamabad Capital Territory,Honda City 2007 automatic,"Islamabad Capital Territory registered, 289119 km driven, good condition.",individual
708872,2007,273904,Toyota,Aqua,petrol,manual,like new,2000,218,7,hatchback,KPK,Toyota Aqua 2007 manual,"KPK registered, 273904 km driven, like new condition.",dealer
1095681,2019,72335,Suzuki,Wagon R,cng,cvt,good,1300,129,5,suv,Islamabad Capital Territory,Suzuki Wagon R 2019 cvt,"Islamabad Capital Territory registered, 72335 km driven, good condition.",dealer
2314729,2020,60112,Kia,Sportage,petrol,cvt,good,1800,160,5,hatchback,KPK,Kia Sportage 2020 cvt,"KPK registered, 60112 km driven, good condition.",individual
876335,2015,152707,Honda,City,hybrid,cvt,good,1300,123,5,hatchback,Punjab,Honda City 2015 cvt,"Punjab registered, 152707 km driven, good condition.",dealer
343217,2006,285572,Suzuki,Wagon R,petrol,automatic,fair,800,75,5,suv,Balochistan,Suzuki Wagon R 2006 automatic,"Balochistan registered, 285572 km driven, fair condition.",individual
1229094,2020,71445,Suzuki,Alto,diesel,cvt,good,1800,162,4,suv,Balochistan,Suzuki Alto 2020 cvt,"Balochistan registered, 71445 km driven, good condition.",individual
1023153,2016,134104,Suzuki,Wagon R,diesel,automatic,good,1500,135,7,hatchback,Islamabad Capital Territory,Suzuki Wagon R 2016 automatic,"Islamabad Capital Territory registered, 134104 km driven, good condition.",dealer
438379,2006,285875,Toyota,Yaris,cng,cvt,like new,1200,131,4,suv,Sindh,Toyota Yaris 2006 cvt,"Sindh registered, 285875 km driven, like new condition.",dealer
1377329,2019,82083,Honda,Civic,hybrid,manual,good,1300,101,5,hatchback,KPK,Honda Civic 2019 manual,"KPK registered, 82083 km driven, good condition.",individual
1052522,2020,73735,Suzuki,Wagon R,petrol,cvt,good,1200,131,5,sedan,Sindh,Suzuki Wagon R 2020 cvt,"Sindh registered, 73735 km driven, good condition.",individual
367027,2012,205161,Toyota,Yaris,cng,cvt,like new,660,65,7,sedan,Balochistan,Toyota Yaris 2012 cvt,"Balochistan registered, 205161 km driven, like new condition.",individual
250000,2006,293643,Honda,City,petrol,manual,like new,1500,121,5,sedan,Punjab,Honda City 2006 manual,"Punjab registered, 293643 km driven, like new condition.",individual
817889,2013,200586,Hyundai,Elantra,hybrid,cvt,good,1300,116,7,hatchback,Islamabad Capital Territory,Hyundai Elantra 2013 cvt,"Islamabad Capital Territory registered, 200586 km driven, good condition.",individual
643371,2006,282960,Honda,City,diesel,automatic,good,800,77,4,suv,Balochistan,Honda City 2006 automatic,"Balochistan registered, 282960 km driven, good condition.",dealer
1390419,2012,188370,Kia,Sportage,hybrid,cvt,like new,1000,102,4,hatchback,Islamabad Capital Territory,Kia Sportage 2012 cvt,"Islamabad Capital Territory registered, 188370 km driven, like new condition.",individual
431938,2008,260773,Toyota,Aqua,hybrid,manual,like new,1300,129,4,sedan,Balochistan,Toyota Aqua 2008 manual,"Balochistan registered, 260773 km driven, like new condition.",dealer
367666,2008,261510,Toyota,Yaris,diesel,manual,good,2000,220,4,suv,Sindh,Toyota Yaris 2008 manual,"Sindh registered, 261510 km driven, good condition.",dealer
644632,2006,287609,Kia,Sportage,hybrid,manual,good,1200,126,4,hatchback,Sindh,Kia Sportage 2006 manual,"Sindh registered, 287609 km driven, good condition.",dealer
1889912,2017,116195,Kia,Sportage,petrol,cvt,fair,2000,195,5,hatchback,Balochistan,Kia Sportage 2017 cvt,"Balochistan registered, 116195 km driven, fair condition.",dealer
1086453,2019,79325,Nissan,Dayz,petrol,automatic,good,800,56,5,suv,Punjab,Nissan Dayz 2019 automatic,"Punjab registered, 79325 km driven, good condition.",dealer
1165971,2018,113824,Suzuki,Alto,diesel,manual,like new,1500,173,4,sedan,Islamabad Capital Territory,Suzuki Alto 2018 manual,"Islamabad Capital Territory registered, 113824 km driven, like new condition.",individual
1363007,2017,122048,Nissan,Dayz,hybrid,automatic,fair,1200,121,4,hatchback,Islamabad Capital Territory,Nissan Dayz 2017 automatic,"Islamabad Capital Territory registered, 122048 km driven, fair condition.",dealer
1059708,2019,87215,Nissan,Dayz,petrol,cvt,like new,1200,130,4,sedan,KPK,Nissan Dayz 2019 cvt,"KPK registered, 87215 km driven, like new condition.",dealer
448657,2007,274158,Honda,Civic,diesel,cvt,like new,1500,159,4,suv,Balochistan,Honda Civic 2007 cvt,"Balochistan registered, 274158 km driven, like new condition.",dealer
633343,2014,162182,Toyota,Yaris,petrol,manual,good,660,57,4,hatchback,Punjab,Toyota Yaris 2014 manual,"Punjab registered, 162182 km driven, good condition.",dealer
382723,2010,232885,Honda,Civic,petrol,cvt,good,660,50,5,hatchback,KPK,Honda Civic 2010 cvt,"KPK registered, 232885 km driven, good condition.",individual
1517118,2022,55290,Suzuki,Wagon R,petrol,cvt,good,1500,178,5,sedan,Islamabad Capital Territory,Suzuki Wagon R 2022 cvt,"Islamabad Capital Territory registered, 55290 km driven, good condition.",individual
1227593,2021,66547,Nissan,Dayz,petrol,cvt,fair,1500,114,7,hatchback,KPK,Nissan Dayz 2021 cvt,"KPK registered, 66547 km driven, fair condition.",individual
250000,2012,205853,Toyota,Yaris,cng,cvt,good,1800,129,7,sedan,Sindh,Toyota Yaris 2012 cvt,"Sindh registered, 205853 km driven, good condition.",individual
1066965,2017,130670,Honda,City,petrol,automatic,good,1200,131,4,sedan,Sindh,Honda City 2017 automatic,"Sindh registered, 130670 km driven, good condition.",individual
1031876,2008,255658,Toyota,Yaris,hybrid,automatic,good,2000,233,7,hatchback,Punjab,Toyota Yaris 2008 automatic,"Punjab registered, 255658 km driven, good condition.",individual
972028,2017,127358,Suzuki,Wagon R,petrol,cvt,good,1800,161,5,sedan,Punjab,Suzuki Wagon R 2017 cvt,"Punjab registered, 127358 km driven, good condition.",dealer
980004,2018,94244,Honda,Civic,petrol,manual,fair,1200,126,4,suv,Punjab,Honda Civic 2018 manual,"Punjab registered, 94244 km driven, fair condition.",dealer
584055,2009,247874,Toyota,Aqua,petrol,automatic,like new,1500,150,5,suv,Balochistan,Toyota Aqua 2009 automatic,"Balochistan registered, 247874 km driven, like new condition.",individual
879925,2018,101673,Hyundai,Elantra,petrol,manual,good,800,87,5,suv,Punjab,Hyundai Elantra 2018 manual,"Punjab registered, 101673 km driven, good condition.",individual
1070990,2022,42012,Suzuki,Alto,cng,cvt,fair,800,75,4,hatchback,Islamabad Capital Territory,Suzuki Alto 2022 cvt,"Islamabad Capital Territory registered, 42012 km driven, fair condition.",dealer
704983,2014,147034,Toyota,Aqua,hybrid,manual,fair,1000,76,4,hatchback,Punjab,Toyota Aqua 2014 manual,"Punjab registered, 147034 km driven, fair condition.",dealer
761598,2010,217751,Toyota,Aqua,petrol,automatic,good,1200,106,7,sedan,Balochistan,Toyota Aqua 2010 automatic,"Balochistan registered, 217751 km driven, good condition.",dealer
1215394,2018,104868,Suzuki,Wagon R,diesel,cvt,good,2000,191,7,hatchback,KPK,Suzuki Wagon R 2018 cvt,"KPK registered, 104868 km driven, good condition.",individual
534925,2011,218813,Toyota,Corolla,cng,manual,good,1200,135,7,sedan,Punjab,Toyota Corolla 2011 manual,"Punjab registered, 218813 km driven, good condition.",individual
969809,2011,211558,Suzuki,Alto,hybrid,cvt,new,1300,147,7,suv,Islamabad Capital Territory,Suzuki Alto 2011 cvt,"Islamabad Capital Territory registered, 211558 km driven, new condition.",individual
447487,2009,252538,Toyota,Yaris,diesel,cvt,fair,1200,84,4,sedan,Sindh,Toyota Yaris 2009 cvt,"Sindh registered, 252538 km driven, fair condition.",individual
1128173,2018,102537,Honda,City,cng,automatic,good,1500,106,4,suv,Islamabad Capital Territory,Honda City 2018 automatic,"Islamabad Capital Territory registered, 102537 km driven, good condition.",dealer
454936,2009,238509,Suzuki,Alto,diesel,automatic,good,660,71,4,hatchback,KPK,Suzuki Alto 2009 automatic,"KPK registered, 238509 km driven, good condition.",individual
788839,2008,241359,Suzuki,Alto,hybrid,cvt,fair,1300,92,5,suv,Sindh,Suzuki Alto 2008 cvt,"Sindh registered, 241359 km driven, fair condition.",dealer
1178215,2019,95426,Toyota,Yaris,hybrid,cvt,fair,1000,92,7,suv,Balochistan,Toyota Yaris 2019 cvt,"Balochistan registered, 95426 km driven, fair condition.",individual
1004588,2016,133220,Suzuki,Alto,hybrid,automatic,good,1300,150,4,sedan,KPK,Suzuki Alto 2016 automatic,"KPK registered, 133220 km driven, good condition.",dealer
745064,2011,204313,Nissan,Dayz,hybrid,cvt,fair,2000,226,5,hatchback,Punjab,Nissan Dayz 2011 cvt,"Punjab registered, 204313 km driven, fair condition.",individual
654376,2013,184558,Suzuki,Wagon R,cng,manual,fair,1200,85,4,hatchback,KPK,Suzuki Wagon R 2013 manual,"KPK registered, 184558 km driven, fair condition.",dealer
1230336,2019,103104,Toyota,Aqua,cng,manual,like new,1200,109,5,hatchback,Islamabad Capital Territory,Toyota Aqua 2019 manual,"Islamabad Capital Territory registered, 103104 km driven, like new condition.",dealer
578653,2013,176430,Honda,City,cng,automatic,good,2000,186,5,suv,KPK,Honda City 2013 automatic,"KPK registered, 176430 km driven, good condition.",individual
541125,2011,212063,Toyota,Corolla,cng,manual,good,1000,75,4,suv,Balochistan,Toyota Corolla 2011 manual,"Balochistan registered, 212063 km driven, good condition.",individual
762454,2013,172989,Nissan,Dayz,cng,automatic,good,1300,96,4,hatchback,Sindh,Nissan Dayz 2013 automatic,"Sindh registered, 172989 km driven, good condition.",individual
1430948,2020,71052,Toyota,Yaris,hybrid,cvt,new,660,77,4,hatchback,Punjab,Toyota Yaris 2020 cvt,"Punjab registered, 71052 km driven, new condition.",dealer
1215872,2017,123146,Toyota,Aqua,hybrid,cvt,like new,1500,163,7,hatchback,Sindh,Toyota Aqua 2017 cvt,"Sindh registered, 123146 km driven, like new condition.",individual
541957,2014,163224,Honda,Civic,cng,manual,good,800,58,7,suv,Sindh,Honda Civic 2014 manual,"Sindh registered, 163224 km driven, good condition.",dealer
1039323,2018,109182,Suzuki,Alto,diesel,automatic,good,1800,129,5,sedan,Punjab,Suzuki Alto 2018 automatic,"Punjab registered, 109182 km driven, good condition.",individual
250000,2008,251701,Nissan,Dayz,diesel,manual,good,1800,149,4,sedan,Balochistan,Nissan Dayz 2008 manual,"Balochistan registered, 251701 km driven, good condition.",individual
1654990,2022,65748,Suzuki,Alto,hybrid,automatic,good,800,85,5,suv,Sindh,Suzuki Alto 2022 automatic,"Sindh registered, 65748 km driven, good condition.",individual
695195,2017,114620,Nissan,Dayz,diesel,automatic,like new,1300,138,7,hatchback,Sindh,Nissan Dayz 2017 automatic,"Sindh registered, 114620 km driven, like new condition.",dealer
507227,2011,196796,Suzuki,Wagon R,cng,cvt,good,1200,108,5,hatchback,Punjab,Suzuki Wagon R 2011 cvt,"Punjab registered, 196796 km driven, good condition.",dealer
796779,2007,283734,Toyota,Aqua,hybrid,cvt,fair,1200,142,7,hatchback,Sindh,Toyota Aqua 2007 cvt,"Sindh registered, 283734 km driven, fair condition.",individual
250000,2006,302518,Toyota,Aqua,cng,manual,good,1200,126,5,suv,Islamabad Capital Territory,Toyota Aqua 2006 manual,"Islamabad Capital Territory registered, 302518 km driven, good condition.",individual
1819274,2022,41258,Toyota,Corolla,petrol,automatic,fair,1800,204,7,sedan,Islamabad Capital Territory,Toyota Corolla 2022 automatic,"Islamabad Capital Territory registered, 41258 km driven, fair condition.",individual
513545,2008,260861,Toyota,Corolla,diesel,automatic,good,1300,97,7,hatchback,KPK,Toyota Corolla 2008 automatic,"KPK registered, 260861 km driven, good condition.",dealer
316649,2012,202984,Toyota,Yaris,cng,cvt,new,800,69,5,sedan,Balochistan,Toyota Yaris 2012 cvt,"Balochistan registered, 202984 km driven, new condition.",individual
938499,2013,175009,Nissan,Dayz,diesel,manual,fair,1300,153,7,hatchback,KPK,Nissan Dayz 2013 manual,"KPK registered, 175009 km driven, fair condition.",individual
1240412,2022,46470,Toyota,Yaris,diesel,manual,good,660,47,4,suv,Islamabad Capital Territory,Toyota Yaris 2022 manual,"Islamabad Capital Territory registered, 46470 km driven, good condition.",individual
520975,2007,269486,Toyota,Aqua,petrol,cvt,good,2000,215,4,hatchback,Islamabad Capital Territory,Toyota Aqua 2007 cvt,"Islamabad Capital Territory registered, 269486 km driven, good condition.",individual
515954,2011,217211,Suzuki,Alto,petrol,cvt,good,1300,142,7,hatchback,Punjab,Suzuki Alto 2011 cvt,"Punjab registered, 217211 km driven, good condition.",dealer
1130595,2017,129372,Toyota,Corolla,petrol,manual,good,1000,89,4,suv,Balochistan,Toyota Corolla 2017 manual,"Balochistan registered, 129372 km driven, good condition.",dealer
1136137,2013,188717,Honda,Civic,diesel,automatic,good,1500,142,4,sedan,Islamabad Capital Territory,Honda Civic 2013 automatic,"Islamabad Capital Territory registered, 188717 km driven, good condition.",dealer
537573,2007,256954,Suzuki,Wagon R,diesel,automatic,good,1200,120,7,suv,KPK,Suzuki Wagon R 2007 automatic,"KPK registered, 256954 km driven, good condition.",dealer
1680007,2016,132978,Kia,Sportage,petrol,automatic,like new,1000,89,4,hatchback,Islamabad Capital Territory,Kia Sportage 2016 automatic,"Islamabad Capital Territory registered, 132978 km driven, like new condition.",individual
1047232,2019,97767,Suzuki,Wagon R,cng,automatic,good,1000,99,5,sedan,Islamabad Capital Territory,Suzuki Wagon R 2019 automatic,"Islamabad Capital Territory registered, 97767 km driven, good condition.",individual
1067934,2016,130677,Toyota,Aqua,petrol,automatic,fair,1800,135,5,hatchback,Punjab,Toyota Aqua 2016 automatic,"Punjab registered, 130677 km driven, fair condition.",dealer
1221527,2020,75978,Nissan,Dayz,diesel,manual,good,1500,143,4,hatchback,Punjab,Nissan Dayz 2020 manual,"Punjab registered, 75978 km driven, good condition.",individual
1247323,2021,47054,Honda,City,cng,cvt,good,1200,100,7,hatchback,KPK,Honda City 2021 cvt,"KPK registered, 47054 km driven, good condition.",individual
703812,2010,229194,Toyota,Corolla,petrol,automatic,new,800,74,4,suv,KPK,Toyota Corolla 2010 automatic,"KPK registered, 229194 km driven, new condition.",individual
625321,2014,176675,Nissan,Dayz,hybrid,manual,good,1500,115,7,hatchback,Islamabad Capital Territory,Nissan Dayz 2014 manual,"Islamabad Capital Territory registered, 176675 km driven, good condition.",individual
673009,2016,137421,Toyota,Corolla,diesel,manual,fair,800,92,4,suv,Punjab,Toyota Corolla 2016 manual,"Punjab registered, 137421 km driven, fair condition.",dealer
963437,2014,156820,Hyundai,Elantra,cng,cvt,good,1200,88,4,hatchback,Sindh,Hyundai Elantra 2014 cvt,"Sindh registered, 156820 km driven, good condition.",individual
327335,2008,243003,Nissan,Dayz,cng,automatic,good,1000,106,5,sedan,Islamabad Capital Territory,Nissan Dayz 2008 automatic,"Islamabad Capital Territory registered, 243003 km driven, good condition.",individual
1022728,2021,47551,Toyota,Aqua,cng,cvt,fair,1800,194,4,sedan,Balochistan,Toyota Aqua 2021 cvt,"Balochistan registered, 47551 km driven, fair condition.",individual
669499,2010,231922,Hyundai,Elantra,cng,automatic,like new,660,73,4,suv,Punjab,Hyundai Elantra 2010 automatic,"Punjab registered, 231922 km driven, like new condition.",individual
250000,2007,264543,Hyundai,Elantra,petrol,manual,good,660,49,7,suv,Balochistan,Hyundai Elantra 2007 manual,"Balochistan registered, 264543 km driven, good condition.",dealer
651940,2009,242922,Nissan,Dayz,cng,cvt,good,1200,135,5,hatchback,Sindh,Nissan Dayz 2009 cvt,"Sindh registered, 242922 km driven, good condition.",individual
852567,2015,152139,Honda,City,petrol,cvt,good,2000,161,5,hatchback,KPK,Honda City 2015 cvt,"KPK registered, 152139 km driven, good condition.",individual
974905,2019,90404,Toyota,Yaris,diesel,manual,fair,660,65,4,hatchback,Punjab,Toyota Yaris 2019 manual,"Punjab registered, 90404 km driven, fair condition.",individual
909116,2019,90082,Hyundai,Elantra,petrol,automatic,like new,660,73,4,hatchback,Balochistan,Hyundai Elantra 2019 automatic,"Balochistan registered, 90082 km driven, like new condition.",dealer
1199537,2018,109062,Suzuki,Alto,diesel,automatic,like new,2000,199,7,suv,Islamabad Capital Territory,Suzuki Alto 2018 automatic,"Islamabad Capital Territory registered, 109062 km driven, like new condition.",dealer
641409,2010,223292,Toyota,Yaris,petrol,cvt,good,800,75,5,sedan,KPK,Toyota Yaris 2010 cvt,"KPK registered, 223292 km driven, good condition.",dealer
888362,2014,159326,Suzuki,Wagon R,cng,cvt,like new,1800,188,4,sedan,Balochistan,Suzuki Wagon R 2014 cvt,"Balochistan registered, 159326 km driven, like new condition.",dealer
